loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,purpose,title,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,loan_status
20000.0, 60 months, 14.08%,466.2,C,C3,Owner/ Physical Therapist,9 years,MORTGAGE,60000.0,Not Verified,debt_consolidation,Debt consolidation,FL,14.62,0.0,Oct-1995,680.0,684.0,1.0,27.0,95.0,9.0,1.0,10753.0,28.8%,23.0,w,0
32000.0, 36 months,  9.75%,1028.8,B,B3,Senior Corporate Specialist,10+ years,MORTGAGE,42000.0,Verified,debt_consolidation,Debt consolidation,SD,28.25,1.0,Mar-2000,670.0,674.0,0.0,9.0,,12.0,0.0,21231.0,78.6%,20.0,f,0
20000.0, 60 months, 16.91%,496.09,C,C5,Laborer,3 years,RENT,60000.0,Verified,credit_card,Credit card refinancing,OH,13.48,1.0,Apr-1998,715.0,719.0,1.0,14.0,,7.0,0.0,15243.0,81.1%,14.0,w,0
3600.0, 36 months, 17.09%,128.52,D,D1,Owner/operator,10+ years,RENT,60000.0,Not Verified,credit_card,Credit card refinancing,VA,1.1,1.0,Feb-2014,675.0,679.0,0.0,17.0,,3.0,0.0,1869.0,41.5%,8.0,f,0
6025.0, 36 months, 13.67%,204.96,C,C3,Assistant Director,3 years,RENT,50000.0,Verified,debt_consolidation,Debt consolidation,MA,30.94,4.0,Jul-2008,665.0,669.0,0.0,17.0,,17.0,0.0,4160.0,92.4%,26.0,w,0
20000.0, 60 months, 25.80%,596.45,G,G1,MEDICAL RECORD,10+ years,MORTGAGE,60000.0,Verified,debt_consolidation,Debt consolidation,MD,33.96,0.0,Aug-2001,685.0,689.0,2.0,,,17.0,0.0,26023.0,75.2%,47.0,w,1
21000.0, 36 months, 12.29%,700.42,C,C1,Director Operations Assurance,< 1 year,OWN,226000.0,Source Verified,debt_consolidation,Debt consolidation,AZ,13.55,0.0,Jan-1993,685.0,689.0,2.0,36.0,,17.0,0.0,30754.0,63.9%,36.0,w,1
10000.0, 36 months,  9.17%,318.79,B,B2,Business Manager,8 years,RENT,48000.0,Not Verified,debt_consolidation,Debt consolidation,FL,27.75,0.0,Nov-1991,700.0,704.0,2.0,,,19.0,0.0,12687.0,69%,20.0,f,1
35000.0, 60 months, 13.90%,812.58,C,C1,Marketing Content Manager,10+ years,RENT,110000.0,Source Verified,debt_consolidation,Debt consolidation,MA,14.75,0.0,Nov-1996,690.0,694.0,0.0,73.0,,8.0,0.0,41569.0,43.3%,20.0,w,0
21000.0, 60 months, 17.27%,524.96,D,D3,System Analyst,10+ years,MORTGAGE,165000.0,Source Verified,debt_consolidation,Debt consolidation,OR,12.89,0.0,Jul-2005,660.0,664.0,2.0,,,20.0,0.0,19892.0,77.7%,44.0,w,0
35000.0, 60 months, 21.99%,966.47,E,E4,Curriculum & Implementation Manager,1 year,RENT,97500.0,Verified,debt_consolidation,Debt consolidation,TX,22.01,0.0,Feb-2000,675.0,679.0,0.0,,,13.0,0.0,64479.0,77.2%,24.0,w,0
10000.0, 36 months, 18.75%,365.3,D,D3,ColumbiaUniversity,6 years,MORTGAGE,110000.0,Not Verified,debt_consolidation,My DC Loan,CT,12.66,0.0,Feb-1992,670.0,674.0,3.0,41.0,,14.0,0.0,7536.0,69.1%,32.0,f,0
19000.0, 36 months, 13.53%,645.05,B,B5,Payroll Manager,< 1 year,MORTGAGE,72500.0,Source Verified,credit_card,Credit card refinancing,NJ,18.72,0.0,Jul-2001,680.0,684.0,1.0,,,6.0,0.0,25664.0,96.8%,22.0,f,0
3000.0, 36 months, 12.79%,100.78,C,C1,Inventory management ,10+ years,RENT,39000.0,Verified,moving,Moving and relocation,NY,4.28,0.0,Nov-2005,680.0,684.0,0.0,44.0,,7.0,0.0,2698.0,22.7%,11.0,w,0
30000.0, 60 months, 20.55%,804.03,D,D2,GRC Business Architecture Analyst,3 years,RENT,119400.0,Verified,debt_consolidation,Debt consolidation,RI,11.13,0.0,Jun-2008,675.0,679.0,1.0,,,9.0,0.0,13149.0,43.7%,31.0,w,0
7000.0, 36 months, 11.44%,230.64,B,B4,Senior Analyst,10+ years,RENT,52000.0,Source Verified,debt_consolidation,Debt consolidation,FL,21.14,3.0,Nov-1981,675.0,679.0,1.0,12.0,,12.0,0.0,7764.0,41.1%,39.0,f,0
2500.0, 36 months, 13.59%,84.95,C,C2,Production Supervisor,5 years,MORTGAGE,92000.0,Not Verified,home_improvement,Home improvement,IL,30.47,0.0,Aug-2002,675.0,679.0,0.0,42.0,,33.0,0.0,25879.0,69.8%,42.0,f,1
6500.0, 36 months, 11.99%,215.87,B,B5,sales ,< 1 year,RENT,65000.0,Source Verified,debt_consolidation,Debt consolidation,NC,12.15,15.0,Oct-2008,660.0,664.0,0.0,14.0,,10.0,0.0,5205.0,74.4%,30.0,f,0
3000.0, 36 months, 11.99%,99.63,B,B5,Systems Administrator,5 years,RENT,78101.0,Not Verified,other,Other,DC,37.29,2.0,Feb-1994,710.0,714.0,0.0,10.0,,28.0,0.0,28071.0,41.5%,45.0,w,0
6000.0, 36 months, 16.29%,211.81,D,D2,Retail,7 years,RENT,18000.0,Not Verified,debt_consolidation,Debt consolidation,MI,27.73,1.0,Sep-2007,665.0,669.0,0.0,20.0,,15.0,0.0,6886.0,33.1%,22.0,w,1
10500.0, 36 months,  7.89%,328.5,A,A5,Analyst,4 years,RENT,54174.0,Source Verified,credit_card,Credit card refinancing,CT,24.68,12.0,Feb-2002,670.0,674.0,0.0,7.0,,21.0,0.0,16003.0,52%,35.0,w,0
10000.0, 36 months, 12.49%,334.49,B,B5,Instructor // Postdoctoral Researcher,< 1 year,RENT,40000.0,Source Verified,debt_consolidation,Debt consolidation,OH,5.31,0.0,Jun-2007,685.0,689.0,0.0,,,3.0,0.0,5089.0,87.7%,10.0,f,0
20000.0, 36 months, 10.64%,651.37,B,B4,rn,10+ years,MORTGAGE,100000.0,Source Verified,debt_consolidation,Debt consolidation,CA,13.9,0.0,Aug-1993,670.0,674.0,0.0,58.0,,10.0,0.0,143885.0,77%,22.0,w,0
3600.0, 36 months, 14.03%,123.1,C,C2,Human Resources ,< 1 year,RENT,28000.0,Source Verified,debt_consolidation,Debt consolidation,TX,7.67,0.0,Aug-2014,685.0,689.0,1.0,,,14.0,0.0,5612.0,34%,15.0,w,0
15000.0, 36 months, 11.22%,492.65,B,B5,salesman,3 years,RENT,50000.0,Source Verified,debt_consolidation,Debt consolidation,FL,14.07,0.0,Sep-2004,660.0,664.0,0.0,,,6.0,0.0,13890.0,95.1%,11.0,w,0
6600.0, 36 months,  7.24%,204.52,A,A3,Executive Chef,3 years,RENT,45300.0,Not Verified,debt_consolidation,Debt consolidation,OH,18.97,0.0,Jul-2007,720.0,724.0,0.0,,,14.0,0.0,3982.0,28.4%,26.0,w,0
17625.0, 36 months, 14.64%,607.88,C,C3,Manager,2 years,MORTGAGE,85000.0,Not Verified,debt_consolidation,Debt consolidation,CT,8.74,1.0,Apr-2006,660.0,664.0,1.0,19.0,,7.0,0.0,10743.0,70.2%,18.0,w,0
3000.0, 36 months, 15.99%,105.46,C,C5,Maintenance,2 years,RENT,35000.0,Source Verified,medical,Medical expenses,NV,21.5,0.0,Nov-2004,680.0,684.0,0.0,,83.0,6.0,1.0,4451.0,22.5%,8.0,w,0
25000.0, 36 months,  7.89%,782.15,A,A5,Lead Software Architect,< 1 year,MORTGAGE,270000.0,Source Verified,home_improvement,Home improvement,FL,4.89,0.0,Sep-1991,750.0,754.0,0.0,78.0,,8.0,0.0,101157.0,24.3%,11.0,f,0
5000.0, 36 months, 12.29%,166.77,C,C1,Administrator,10+ years,RENT,65000.0,Source Verified,credit_card,Credit card refinancing,FL,23.82,0.0,Nov-1994,715.0,719.0,0.0,,,16.0,0.0,16169.0,72.8%,21.0,w,0
30000.0, 36 months, 16.29%,1059.02,C,C4,Northwest Ohio Educational Service Ctr,10+ years,MORTGAGE,111000.0,Verified,other,Unsecured ,OH,22.75,0.0,Jan-1989,725.0,729.0,1.0,,,24.0,0.0,86793.0,47.7%,45.0,f,0
12750.0, 36 months, 10.33%,413.39,B,B1,Project Manager ,4 years,MORTGAGE,128000.0,Not Verified,debt_consolidation,Debt consolidation,TX,21.28,0.0,Aug-2007,705.0,709.0,0.0,43.0,,13.0,0.0,6443.0,38.1%,21.0,f,0
14400.0, 36 months, 12.69%,483.05,C,C2,Manager & waitress,10+ years,MORTGAGE,35000.0,Source Verified,debt_consolidation,Debt consolidation,OH,18.52,0.0,Oct-1996,690.0,694.0,2.0,,79.0,8.0,1.0,18134.0,58.3%,15.0,f,0
8000.0, 36 months,  9.93%,257.88,B,B2,gen mang,10+ years,MORTGAGE,60000.0,Not Verified,home_improvement,Home improvement,MI,16.64,6.0,May-1993,660.0,664.0,0.0,13.0,,7.0,0.0,2923.0,79%,16.0,f,1
18000.0, 36 months, 12.99%,606.41,C,C2,Sanitation Worker,10+ years,RENT,69000.0,Not Verified,debt_consolidation,Debt consolidation,NY,17.09,0.0,Oct-1995,695.0,699.0,1.0,,,6.0,0.0,12615.0,90.1%,14.0,w,0
18300.0, 36 months, 18.06%,662.14,D,D2,skilled labor,9 years,OWN,52000.0,Source Verified,debt_consolidation,Debt consolidation,IL,16.18,0.0,Oct-2006,670.0,674.0,0.0,,,11.0,0.0,24863.0,78.9%,18.0,w,0
20000.0, 36 months,  9.58%,641.41,B,B1,"Support Engineer, Manager",10+ years,MORTGAGE,120000.0,Source Verified,debt_consolidation,Debt consolidation,CA,23.74,0.0,Aug-2004,705.0,709.0,0.0,,,11.0,0.0,108576.0,81.5%,31.0,w,0
3600.0, 36 months, 16.02%,126.61,C,C5,Clerk,10+ years,RENT,58000.0,Verified,debt_consolidation,Debt consolidation,OH,27.04,0.0,Jan-2005,695.0,699.0,0.0,29.0,,11.0,0.0,19700.0,72.4%,21.0,w,0
18000.0, 36 months,  8.24%,566.05,B,B1,Call Center Director,8 years,MORTGAGE,80000.0,Source Verified,debt_consolidation,Debt consolidation,PA,16.16,0.0,Oct-2000,710.0,714.0,0.0,,,8.0,0.0,17306.0,37.1%,16.0,w,0
7500.0, 36 months, 12.29%,250.15,C,C1,substitute teacher,10+ years,RENT,42000.0,Not Verified,debt_consolidation,Debt consolidation,IN,21.54,0.0,Jun-1971,730.0,734.0,0.0,,71.0,9.0,2.0,2412.0,13.5%,29.0,f,0
8000.0, 36 months,  5.32%,240.92,A,A1,Schematic Supervisor,10+ years,MORTGAGE,83000.0,Source Verified,debt_consolidation,Debt consolidation,CA,9.72,0.0,May-2005,755.0,759.0,0.0,40.0,,9.0,0.0,6810.0,19.2%,19.0,w,0
5000.0, 36 months, 11.49%,164.86,B,B5,Assistant manager,6 years,RENT,40000.0,Source Verified,debt_consolidation,Debt consolidation,WA,29.55,0.0,Jul-2004,685.0,689.0,1.0,29.0,,8.0,0.0,3721.0,39.2%,24.0,w,0
20000.0, 60 months, 14.30%,468.49,C,C1,rn,10+ years,MORTGAGE,91390.0,Source Verified,debt_consolidation,personal,FL,16.2,0.0,Oct-1994,765.0,769.0,1.0,,,7.0,0.0,1885.0,20.9%,28.0,w,0
25000.0, 60 months, 14.65%,590.17,C,C5,IT Tech,9 years,OWN,81000.0,Source Verified,credit_card,Credit card refinancing,IL,25.42,1.0,Jul-1994,690.0,694.0,0.0,1.0,,15.0,0.0,82579.0,37.9%,47.0,f,1
30500.0, 36 months, 10.99%,998.39,B,B2,Software Developer IV,7 years,RENT,95000.0,Source Verified,credit_card,Refinance Credit Cards,NY,25.73,0.0,Mar-1996,705.0,709.0,0.0,,,16.0,0.0,31506.0,71.9%,48.0,w,0
1450.0, 36 months,  5.32%,43.67,A,A1,Mortgage Loan Officer,2 years,MORTGAGE,75000.0,Source Verified,other,Other,IN,5.86,0.0,Feb-1998,835.0,839.0,1.0,,,11.0,0.0,1611.0,2%,42.0,w,0
21000.0, 60 months, 10.42%,450.55,B,B3,IT Manager,10+ years,MORTGAGE,90000.0,Not Verified,debt_consolidation,Debt consolidation,WA,36.16,0.0,Oct-2002,705.0,709.0,0.0,44.0,,19.0,0.0,37369.0,59.7%,46.0,w,0
15000.0, 36 months, 11.99%,498.15,B,B5,Sales Executive,< 1 year,RENT,72500.0,Source Verified,debt_consolidation,Debt consolidation,CA,26.77,0.0,May-2009,690.0,694.0,0.0,,,17.0,0.0,28206.0,74.6%,22.0,w,0
16000.0, 36 months, 10.72%,521.71,B,B2,Technician,10+ years,MORTGAGE,112000.0,Not Verified,debt_consolidation,Debt consolidation,MA,15.29,2.0,Dec-2000,700.0,704.0,0.0,13.0,,8.0,0.0,12628.0,59.3%,13.0,w,0
15000.0, 36 months,  7.69%,467.91,A,A4,Tech support,8 years,MORTGAGE,40000.0,Not Verified,credit_card,Credit card refinancing,TN,14.25,0.0,Feb-2007,665.0,669.0,0.0,56.0,,7.0,0.0,14655.0,72.6%,15.0,w,0
15000.0, 60 months, 12.79%,339.69,C,C1,Account Executive ,< 1 year,RENT,168000.0,Source Verified,home_improvement,Home improvement,CA,10.01,0.0,Nov-2001,665.0,669.0,1.0,,83.0,8.0,1.0,15988.0,65.8%,20.0,w,0
5000.0, 36 months,  7.99%,156.66,A,A5,Mortgage Loan Closer,6 years,MORTGAGE,40000.0,Source Verified,debt_consolidation,Debt consolidation,MI,2.82,0.0,Mar-2003,770.0,774.0,0.0,,,3.0,0.0,2191.0,14.5%,13.0,w,0
20225.0, 60 months, 16.49%,497.12,D,D3,OWNER,6 years,RENT,45000.0,Not Verified,debt_consolidation,Debt consolidation,MI,12.27,0.0,Jan-2004,715.0,719.0,0.0,,,8.0,0.0,5581.0,56.4%,32.0,f,0
11000.0, 36 months,  8.24%,345.92,B,B1,Commercial Sales,3 years,OWN,65000.0,Not Verified,debt_consolidation,Debt consolidation,OR,32.53,0.0,Sep-2003,670.0,674.0,1.0,,59.0,8.0,1.0,7526.0,21.8%,27.0,w,1
10000.0, 36 months, 23.87%,391.65,E,E2,Mental health worker,10+ years,MORTGAGE,47000.0,Not Verified,credit_card,Credit card refinancing,NY,27.27,1.0,Jul-2004,730.0,734.0,1.0,15.0,,13.0,0.0,2486.0,20.2%,33.0,f,1
14000.0, 60 months, 16.99%,347.87,D,D3,Paralegal,8 years,MORTGAGE,57500.0,Verified,debt_consolidation,Debt consolidation,MA,30.97,2.0,Apr-2001,680.0,684.0,0.0,19.0,,19.0,0.0,15439.0,54.4%,33.0,w,1
20000.0, 36 months, 13.59%,679.58,C,C2,Teacher,< 1 year,RENT,66000.0,Not Verified,small_business,Business,OR,22.8,0.0,Sep-1986,680.0,684.0,0.0,,25.0,7.0,3.0,42887.0,39.7%,15.0,w,1
15000.0, 36 months, 13.11%,506.21,B,B4,Paul B Sullivan Insurance Agency Inc,10+ years,RENT,43000.0,Not Verified,debt_consolidation,FinancialSerenity,MA,23.44,0.0,Feb-2002,710.0,714.0,1.0,,,9.0,0.0,9694.0,70.8%,19.0,f,0
20000.0, 36 months,  7.26%,619.93,A,A4,it director,10+ years,MORTGAGE,135000.0,Not Verified,debt_consolidation,Debt consolidation,AZ,29.21,0.0,Aug-1988,765.0,769.0,0.0,,,14.0,0.0,39579.0,42.5%,25.0,w,0
7000.0, 36 months, 12.79%,235.16,C,C1,Sr. Trust Specialist,10+ years,MORTGAGE,45000.0,Source Verified,debt_consolidation,Debt consolidation,SC,22.77,0.0,May-2000,740.0,744.0,0.0,76.0,,19.0,0.0,21586.0,25.3%,43.0,f,0
14400.0, 36 months,  6.24%,439.65,A,A2,Family Medicine physician,< 1 year,RENT,185000.0,Not Verified,debt_consolidation,Debt consolidation,NY,8.3,0.0,Sep-2000,725.0,729.0,1.0,34.0,,16.0,0.0,4879.0,19.5%,55.0,f,0
4000.0, 36 months, 13.49%,135.73,C,C2,Facilities Maintenance Coordinator,10+ years,MORTGAGE,54000.0,Source Verified,debt_consolidation,Debt consolidation,FL,7.22,1.0,May-2003,685.0,689.0,1.0,11.0,,7.0,0.0,1554.0,28.3%,12.0,w,0
